monotonic_seconds,cycle,phase,base_x,base_y,base_yaw,box_x,box_y,box_z,measured_joints_json,target_joints_json
6527.763135058,1,INITIAL_HOME,-8.159193415450848e-14,6.516242295269078e-20,-7.78066203488186e-19,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 2.7810438604703293e-14, ""arm_2_joint"": 4.41987737488859e-14, ""endpoint_bracket_joint"": 1.1350321642889676e-14, ""gripper_m_joint"": 3.2192285034575994e-21, ""left_gripper_joint_1"": -1.2288702894051625e-21, ""left_gripper_joint_2"": 1.7465692159820672e-22, ""left_gripper_joint_4"": -5.367962873424153e-23, ""left_gripper_joint_5"": 6.788243335827457e-23, ""left_gripper_joint_6"": 2.0937703366454647e-24, ""left_gripper_joint_7"": 3.896507608391305e-24, ""right_gripper_joint_1"": -1.1340577049323638e-21, ""right_gripper_joint_2"": -2.109199176854471e-21, ""right_gripper_joint_4"": 3.570618394011646e-21, ""right_gripper_joint_5"": -1.262259060301455e-21, ""right_gripper_joint_6"": -4.593284743843932e-22, ""right_gripper_joint_7"": 4.189719061672364e-22, ""rod_1_joint"": -1.3471044104342351e-14, ""triangle_joint"": 2.7541278052343163e-14, ""rod_2_joint"": 4.889956287911309e-17, ""rod_joint"": -2.2216340835144714e-14, ""rod_3_joint"": -1.9102033888489086e-16, ""front_left_wheel_joint"": -4.539589274530252e-12, ""front_right_wheel_joint"": -4.539602830559417e-12, ""rear_left_wheel_joint"": -4.5416559787492066e-12, ""rear_right_wheel_joint"": -4.541677703409066e-12}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
6529.185848663,1,INITIAL_HOME,-8.159193415450848e-14,6.516242295269078e-20,-7.78066203488186e-19,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 2.7810413139423644e-14, ""arm_2_joint"": 4.419881115362148e-14, ""endpoint_bracket_joint"": 1.1350286959823756e-14, ""gripper_m_joint"": 4.990396427912289e-22, ""left_gripper_joint_1"": 1.548121387227505e-22, ""left_gripper_joint_2"": 1.9421704701631213e-22, ""left_gripper_joint_4"": -3.955104122759304e-23, ""left_gripper_joint_5"": -2.7074335574029884e-23, ""left_gripper_joint_6"": 1.821821106762295e-23, ""left_gripper_joint_7"": 9.438112125246922e-24, ""right_gripper_joint_1"": -1.2989539804960605e-21, ""right_gripper_joint_2"": 4.101466943951204e-21, ""right_gripper_joint_4"": -2.5708583061417537e-21, ""right_gripper_joint_5"": 1.381543389596459e-21, ""right_gripper_joint_6"": -1.0960296808010797e-21, ""right_gripper_joint_7"": 5.966428207654368e-22, ""rod_1_joint"": -1.347103779754092e-14, ""triangle_joint"": 2.7541278447229092e-14, ""rod_2_joint"": 4.887694175754353e-17, ""rod_joint"": -2.2216339953005115e-14, ""rod_3_joint"": -1.910303333523546e-16, ""front_left_wheel_joint"": -6.615229365243993e-12, ""front_right_wheel_joint"": -6.615246838425959e-12, ""rear_left_wheel_joint"": -6.618242927324289e-12, ""rear_right_wheel_joint"": -6.618269654081063e-12}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
6529.329793287,1,INITIAL_HOME,-3.7770612953891842e-06,5.8941869927049814e-08,-3.3543679118895216e-06,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 0.0006959458079860298, ""arm_2_joint"": -0.0002883989160018159, ""endpoint_bracket_joint"": -0.0004075468918177248, ""gripper_m_joint"": -3.50561895850639e-05, ""left_gripper_joint_1"": 0.0012169730811419101, ""left_gripper_joint_2"": -0.003056994739171979, ""left_gripper_joint_4"": -1.8256653863039084e-05, ""left_gripper_joint_5"": 0.0018353419107508227, ""left_gripper_joint_6"": -0.0015468360752550867, ""left_gripper_joint_7"": -0.0005812011396772468, ""right_gripper_joint_1"": -0.0012398114265655014, ""right_gripper_joint_2"": 0.0031094443874591406, ""right_gripper_joint_4"": -6.796836293753447e-06, ""right_gripper_joint_5"": -0.0018419360308178454, ""right_gripper_joint_6"": 0.001530657897791939, ""right_gripper_joint_7"": 0.0005679773352928982, ""rod_1_joint"": 0.00040754689181348114, ""triangle_joint"": -0.000695945807875463, ""rod_2_joint"": 0.0006959458079305711, ""rod_joint"": 0.00040754689179593197, ""rod_3_joint"": 0.00028839891608961854, ""front_left_wheel_joint"": -6.556936394972398e-12, ""front_right_wheel_joint"": -6.884217240014939e-12, ""rear_left_wheel_joint"": -6.7415674031483755e-12, ""rear_right_wheel_joint"": -7.06900302626587e-12}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
6529.442646407,1,INITIAL_HOME,-6.988613247776064e-05,6.827610676097362e-07,-3.4928940956790704e-05,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 0.002064289447149744, ""arm_2_joint"": -0.0008554385013788599, ""endpoint_bracket_joint"": -0.0012088509456048406, ""gripper_m_joint"": -0.00010398240982437891, ""left_gripper_joint_1"": 0.0036097418220961074, ""left_gripper_joint_2"": -0.009067547944086447, ""left_gripper_joint_4"": -5.415223064680088e-05, ""left_gripper_joint_5"": 0.005443925223774508, ""left_gripper_joint_6"": -0.004588169581808671, ""left_gripper_joint_7"": -0.0017239379354014113, ""right_gripper_joint_1"": -0.0036774841016095202, ""right_gripper_joint_2"": 0.009223122206089633, ""right_gripper_joint_4"": -2.0160531574355795e-05, ""right_gripper_joint_5"": -0.00546348446576162, ""right_gripper_joint_6"": 0.004540182453170444, ""right_gripper_joint_7"": 0.0016847139620259192, ""rod_1_joint"": 0.0012088509456005948, ""triangle_joint"": -0.0020642894470394428, ""rod_2_joint"": 0.00206428944709441, ""rod_joint"": 0.0012088509455829453, ""rod_3_joint"": 0.0008554385014662616, ""front_left_wheel_joint"": 2.1281917128001962e-05, ""front_right_wheel_joint"": 2.0629277243152655e-05, ""rear_left_wheel_joint"": 2.0629286586024113e-05, ""rear_right_wheel_joint"": 2.1281925984676467e-05}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
6529.562384594,1,INITIAL_HOME,-0.00018342433090189726,6.253451474471137e-07,-8.993489901935864e-05,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 0.004579226117155202, ""arm_2_joint"": -0.001897624547086498, ""endpoint_bracket_joint"": -0.0026816015696847616, ""gripper_m_joint"": -0.0002306648263202027, ""left_gripper_joint_1"": 0.008007512729972957, ""left_gripper_joint_2"": -0.020114597991134745, ""left_gripper_joint_4"": -0.0001201262310853764, ""left_gripper_joint_5"": 0.012076293175426116, ""left_gripper_joint_6"": -0.010177965114823162, ""left_gripper_joint_7"": -0.003824222242464325, ""right_gripper_joint_1"": -0.008157785850262585, ""right_gripper_joint_2"": 0.020459709343167713, ""right_gripper_joint_4"": -4.4722232083375904e-05, ""right_gripper_joint_5"": -0.012119681564023765, ""right_gripper_joint_6"": 0.010071514968648526, ""right_gripper_joint_7"": 0.003737211458258849, ""rod_1_joint"": 0.0026816015697727646, ""triangle_joint"": -0.004579226116963609, ""rod_2_joint"": 0.004579226117036097, ""rod_joint"": 0.0026816015703747683, ""rod_3_joint"": 0.0018976245478714157, ""front_left_wheel_joint"": 0.00012868285494960872, ""front_right_wheel_joint"": 0.00012642208359921268, ""rear_left_wheel_joint"": 0.00012642210589227846, ""rear_right_wheel_joint"": 0.00012868287636154442}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
6529.685191165,1,INITIAL_HOME,-0.0002960648547218557,4.24884677489329e-06,-0.0001299699947310492,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 0.00830677732950503, ""arm_2_joint"": -0.003442316270296592, ""endpoint_bracket_joint"": -0.004864461058826613, ""gripper_m_joint"": -0.00041842907534609037, ""left_gripper_joint_1"": 0.014525735030272975, ""left_gripper_joint_2"": -0.03498702107093959, ""left_gripper_joint_4"": -0.00021791058383146265, ""left_gripper_joint_5"": 0.021906557095706197, ""left_gripper_joint_6"": -0.01846296463749162, ""left_gripper_joint_7"": -0.006937190217236821, ""right_gripper_joint_1"": -0.01479833247661809, ""right_gripper_joint_2"": 0.035491221781541765, ""right_gripper_joint_4"": -8.112672876835137e-05, ""right_gripper_joint_5"": -0.021985264211287377, ""right_gripper_joint_6"": 0.0182698626512565, ""right_gripper_joint_7"": 0.006779351492960994, ""rod_1_joint"": 0.004864461058913492, ""triangle_joint"": -0.008306777329314301, ""rod_2_joint"": 0.008306777329386368, ""rod_joint"": 0.004864461059514504, ""rod_3_joint"": 0.0034423162710790697, ""front_left_wheel_joint"": 0.00038572450027647557, ""front_right_wheel_joint"": 0.00038194244671858744, ""rear_left_wheel_joint"": 0.0003819424816988613, ""rear_right_wheel_joint"": 0.0003857245333584489}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
6529.808590415,1,INITIAL_HOME,-0.0004118263943450096,4.211025323689286e-05,-0.0005124452756322352,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 0.012985637954000295, ""arm_2_joint"": -0.005381229210551424, ""endpoint_bracket_joint"": -0.007604408743286036, ""gripper_m_joint"": -0.0006541126921224759, ""left_gripper_joint_1"": 0.0227074747075499, ""left_gripper_joint_2"": -0.057040399493245825, ""left_gripper_joint_4"": -0.0003406505141843102, ""left_gripper_joint_5"": 0.03424560548124467, ""left_gripper_joint_6"": -0.02886238126370255, ""left_gripper_joint_7"": -0.010844619641739878, ""right_gripper_joint_1"": -0.023133614906301364, ""right_gripper_joint_2"": 0.05801905636013583, ""right_gripper_joint_4"": -0.00012682202260739817, ""right_gripper_joint_5"": -0.034368645026239195, ""right_gripper_joint_6"": 0.02856051299649104, ""right_gripper_joint_7"": 0.010597876958526448, ""rod_1_joint"": 0.00760440874328189, ""triangle_joint"": -0.012985637953891918, ""rod_2_joint"": 0.012985637953945823, ""rod_joint"": 0.007604408743264466, ""rod_3_joint"": 0.005381229210636773, ""front_left_wheel_joint"": 0.0008310371303953437, ""front_right_wheel_joint"": 0.0007757829031309399, ""rear_left_wheel_joint"": 0.0007757829342311915, ""rear_right_wheel_joint"": 0.0008310371622764093}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
6529.921930612,1,INITIAL_HOME,-0.0006091423789495018,2.9804092129603352e-05,-0.0005243554627092211,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 0.01931566839297899, ""arm_2_joint"": -0.008004384485784272, ""endpoint_bracket_joint"": -0.011311283906816664, ""gripper_m_joint"": -0.0009729690522321529, ""left_gripper_joint_1"": 0.03377655014447487, ""left_gripper_joint_2"": -0.08154113389820535, ""left_gripper_joint_4"": -0.0005067053582011578, ""left_gripper_joint_5"": 0.05093910378315013, ""left_gripper_joint_6"": -0.042931751791506476, ""left_gripper_joint_7"": -0.016130980824903263, ""right_gripper_joint_1"": -0.03441041833053743, ""right_gripper_joint_2"": 0.08283034973985863, ""right_gripper_joint_4"": -0.0001886431912002692, ""right_gripper_joint_5"": -0.051122120672052726, ""right_gripper_joint_6"": 0.04248273362428428, ""right_gripper_joint_7"": 0.015763959977142864, ""rod_1_joint"": 0.011311283906903394, ""triangle_joint"": -0.01931566839279017, ""rod_2_joint"": 0.019315668392861234, ""rod_joint"": 0.011311283907503807, ""rod_3_joint"": 0.008004384486563517, ""front_left_wheel_joint"": 0.001396536187203208, ""front_right_wheel_joint"": 0.0012482327124000061, ""rear_left_wheel_joint"": 0.0012482327597572221, ""rear_right_wheel_joint"": 0.0013965362248527966}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
6530.043022286,1,INITIAL_HOME,-0.0007387403607484177,3.132357417500226e-05,-0.00067717243843687,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 0.02730067451096847, ""arm_2_joint"": -0.011313359240944888, ""endpoint_bracket_joint"": -0.015987315269647338, ""gripper_m_joint"": -0.0013751898647142951, ""left_gripper_joint_1"": 0.04773961650050966, ""left_gripper_joint_2"": -0.11550091385783985, ""left_gripper_joint_4"": -0.0007161749678874909, ""left_gripper_joint_5"": 0.07190141454783736, ""left_gripper_joint_6"": -0.06067953529254804, ""left_gripper_joint_7"": -0.02279945214092405, ""right_gripper_joint_1"": -0.04863552280205181, ""right_gripper_joint_2"": 0.11737278641492203, ""right_gripper_joint_4"": -0.0002666273889868155, ""right_gripper_joint_5"": -0.07213675172920332, ""right_gripper_joint_6"": 0.06004489513489975, ""right_gripper_joint_7"": 0.022280706607496068, ""rod_1_joint"": 0.01598731526973416, ""triangle_joint"": -0.027300674510781, ""rod_2_joint"": 0.02730067451085135, ""rod_joint"": 0.015987315270335062, ""rod_3_joint"": 0.011313359241723227, ""front_left_wheel_joint"": 0.0021884836699522774, ""front_right_wheel_joint"": 0.0019701314982658023, ""rear_left_wheel_joint"": 0.001970131550191082, ""rear_right_wheel_joint"": 0.002188483709101088}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
6530.165764312,1,INITIAL_HOME,-0.0008594097603239822,1.4021076918720776e-05,-0.0007839911225315443,0.278,-0.001,0.0724998959388607,"{""arm_1_joint"": 0.036894976931007795, ""arm_2_joint"": -0.015289224008853394, ""endpoint_bracket_joint"": -0.021605752920368735, ""gripper_m_joint"": -0.0017829699480349224, ""left_gripper_joint_1"": 0.06252988123893671, ""left_gripper_joint_2"": -0.14981548635847067, ""left_gripper_joint_4"": -0.0009678610251592253, ""left_gripper_joint_5"": 0.0918636106774537, ""left_gripper_joint_6"": -0.07817768131987742, ""left_gripper_joint_7"": -0.030811885632239716, ""right_gripper_joint_1"": -0.06361327000838334, ""right_gripper_joint_2"": 0.1523035545121369, ""right_gripper_joint_4"": -0.0003603285131722063, ""right_gripper_joint_5"": -0.09217641773461435, ""right_gripper_joint_6"": 0.0774102327394814, ""right_gripper_joint_7"": 0.030110836854923093, ""rod_1_joint"": 0.021605752920899165, ""triangle_joint"": -0.036894976930477566, ""rod_2_joint"": 0.03689497693049632, ""rod_joint"": 0.02160575291272796, ""rod_3_joint"": 0.015289224001402122, ""front_left_wheel_joint"": 0.003130865973535153, ""front_right_wheel_joint"": 0.0028474650386376347, ""rear_left_wheel_joint"": 0.002847465081734964, ""rear_right_wheel_joint"": 0.003130865993468582}","{""arm_1_joint"": 0.2739616673436859, ""arm_2_joint"": -0.11352931077651485, ""endpoint_bracket_joint"": -0.16043235656717103, ""gripper_m_joint"": -0.0138, ""left_gripper_joint_1"": 0.479066, ""left_gripper_joint_2"": -1.2033973999999998, ""left_gripper_joint_4"": -0.007186799999999999, ""left_gripper_joint_5"": 0.7224891999999999, ""left_gripper_joint_6"": -0.6089178, ""left_gripper_joint_7"": -0.228792, ""right_gripper_joint_1"": -0.48805639999999995, ""right_gripper_joint_2"": 1.2240444, ""right_gripper_joint_4"": -0.0026756, ""right_gripper_joint_5"": -0.725085, ""right_gripper_joint_6"": 0.6025492, ""right_gripper_joint_7"": 0.2235864, ""rod_1_joint"": 0.16043235656717103, ""triangle_joint"": -0.2739616673436859, ""rod_2_joint"": 0.2739616673436859, ""rod_joint"": 0.16043235656717103, ""rod_3_joint"": 0.11352931077651485}"
